14 AWG,0.599,1.198,0.692,0.692,20,20,25
12 AWG,0.924,1.849,1.067,1.067,25,25,30
10 AWG,1.529,3.057,1.765,1.765,30,35,40
8 AWG,2.321,4.642,2.680,2.680,40,50,55
6 AWG,3.625,7.250,4.186,4.186,55,65,75
4 AWG,5.585,11.170,6.449,6.449,70,85,95
2 AWG,8.757,17.514,10.112,10.112,95,115,130
1/0 AWG,13.058,26.117,15.079,15.079,125,150,170
2/0 AWG,15.237,30.475,17.594,17.594,145,175,195
3/0 AWG,18.843,37.686,21.758,21.758,165,200,225
4/0 AWG,22.329,44.658,25.783,25.783,195,230,260
250 KCM,25.346,50.692,29.267,29.267,215,255,290
300 KCM,28.413,56.825,32.808,32.808,240,285,320
350 KCM,31.540,63.080,36.419,36.419,260,310,350
400 KCM,34.435,68.870,39.762,39.762,280,335,380
500 KCM,39.125,78.249,45.177,45.177,320,380,430
600 KCM,42.680,85.360,49.283,49.283,355,420,475
750 KCM,47.626,95.252,54.994,54.994,400,475,535
1000 KCM,53.821,107.642,62.147,62.147,455,545,615
