14 AWG,0.550,1.100,0.635,0.635,20,20,25
12 AWG,0.849,1.699,0.981,0.981,25,25,30
10 AWG,1.405,2.811,1.623,1.623,30,35,40
8 AWG,2.136,4.273,2.467,2.467,40,50,55
6 AWG,3.341,6.683,3.858,3.858,55,65,75
4 AWG,5.159,10.317,5.957,5.957,70,85,95
2 AWG,7.748,15.495,8.946,8.946,95,115,130
1/0 AWG,11.349,22.697,13.104,13.104,125,150,170
2/0 AWG,14.204,28.408,16.401,16.401,145,175,195
3/0 AWG,16.764,33.529,19.358,19.358,165,200,225
4/0 AWG,19.743,39.487,22.798,22.798,195,230,260
250 KCM,22.301,44.602,25.751,25.751,215,255,290
300 KCM,24.875,49.750,28.723,28.723,240,285,320
350 KCM,27.454,54.907,31.701,31.701,260,310,350
400 KCM,29.832,59.664,34.447,34.447,280,335,380
500 KCM,33.610,67.220,38.809,38.809,320,380,430
600 KCM,36.452,72.904,42.091,42.091,355,420,475
750 KCM,40.310,80.619,46.545,46.545,400,475,535
1000 KCM,46.262,92.524,53.419,53.419,455,545,545
