14 AWG,0.599,1.198,0.692,0.692,20,20,25
12 AWG,0.924,1.849,1.067,1.067,25,25,30
10 AWG,1.529,3.057,1.765,1.765,30,35,40
8 AWG,2.321,4.642,2.680,2.680,40,50,55
6 AWG,3.625,7.250,4.186,4.186,55,65,75
4 AWG,5.585,11.170,6.449,6.449,70,85,95
2 AWG,8.367,16.733,9.661,9.661,95,115,130
1/0 AWG,12.209,24.417,14.097,14.097,125,150,170
2/0 AWG,15.237,30.475,17.594,17.594,145,175,195
3/0 AWG,17.942,35.884,20.718,20.718,165,200,225
4/0 AWG,21.075,42.149,24.335,24.335,195,230,260
250 KCM,23.742,47.484,27.415,27.415,215,255,290
300 KCM,26.412,52.825,30.498,30.498,240,285,320
350 KCM,29.094,58.188,33.595,33.595,260,310,350
400 KCM,31.540,63.080,36.419,36.419,280,335,380
500 KCM,35.430,70.859,40.911,40.911,320,380,430
600 KCM,38.320,76.641,44.249,44.249,355,420,475
750 KCM,42.261,84.522,48.799,48.799,400,475,535
1000 KCM,48.287,96.575,55.757,55.757,455,545,615
