14 AWG,0.541,1.083,0.625,0.625,20,20,25
12 AWG,0.836,1.671,0.965,0.965,25,25,30
10 AWG,1.383,2.766,1.597,1.597,30,35,40
8 AWG,2.103,4.206,2.428,2.428,40,50,55
6 AWG,3.290,6.580,3.799,3.799,55,65,75
4 AWG,5.081,10.162,5.867,5.867,70,85,95
2 AWG,7.635,15.269,8.816,8.816,95,115,130
1/0 AWG,11.191,22.382,12.922,12.922,125,150,170
2/0 AWG,14.014,28.027,16.182,16.182,145,175,195
3/0 AWG,16.547,33.094,19.107,19.107,165,200,225
4/0 AWG,19.497,38.994,22.513,22.513,195,230,260
250 KCM,22.033,44.067,25.442,25.442,215,255,290
300 KCM,24.588,49.177,28.392,28.392,240,285,320
350 KCM,27.148,54.295,31.347,31.347,260,310,350
400 KCM,29.513,59.025,34.078,34.078,280,335,380
500 KCM,33.268,66.536,38.415,38.415,320,380,430
600 KCM,36.100,72.200,41.685,41.685,355,420,475
750 KCM,39.941,79.881,46.120,46.120,400,475,535
1000 KCM,45.877,91.754,52.974,52.974,455,545,545
