14 AWG,0.577,1.154,0.666,0.666,20,20,25
12 AWG,0.890,1.779,1.027,1.027,25,25,30
10 AWG,1.469,2.938,1.696,1.696,30,35,40
8 AWG,2.225,4.450,2.569,2.569,40,50,55
6 AWG,3.461,6.921,3.996,3.996,55,65,75
4 AWG,5.308,10.616,6.129,6.129,70,85,95
2 AWG,7.888,15.776,9.108,9.108,95,115,130
1/0 AWG,12.194,24.388,14.080,14.080,125,150,170
2/0 AWG,14.147,28.294,16.336,16.336,145,175,195
3/0 AWG,17.091,34.182,19.735,19.735,165,200,225
4/0 AWG,20.249,40.499,23.382,23.382,195,230,260
250 KCM,22.369,44.737,25.829,25.829,215,255,290
300 KCM,25.359,50.717,29.282,29.282,240,285,320
350 KCM,27.896,55.793,32.212,32.212,260,310,350
400 KCM,29.989,59.978,34.628,34.628,280,335,380
500 KCM,33.623,67.247,38.825,38.825,320,380,430
600 KCM,36.316,72.633,41.935,41.935,355,420,475
750 KCM,39.478,78.957,45.586,45.586,400,475,535
1000 KCM,43.281,86.561,49.976,49.976,455,545,545
