14 AWG,0.558,1.116,0.644,0.644,20,20,25
12 AWG,0.860,1.721,0.993,0.993,25,25,30
10 AWG,1.421,2.842,1.641,1.641,30,35,40
8 AWG,2.154,4.307,2.487,2.487,40,50,55
6 AWG,3.352,6.704,3.871,3.871,55,65,75
4 AWG,5.146,10.292,5.942,5.942,70,85,95
2 AWG,7.657,15.314,8.842,8.842,95,115,130
1/0 AWG,11.862,23.725,13.697,13.697,125,150,170
2/0 AWG,13.775,27.550,15.906,15.906,145,175,195
3/0 AWG,16.661,33.322,19.239,19.239,165,200,225
4/0 AWG,19.768,39.535,22.826,22.826,195,230,260
250 KCM,21.864,43.728,25.247,25.247,215,255,290
300 KCM,24.818,49.636,28.657,28.657,240,285,320
350 KCM,27.328,54.657,31.556,31.556,260,310,350
400 KCM,29.400,58.799,33.948,33.948,280,335,380
500 KCM,33.009,66.018,38.115,38.115,320,380,430
600 KCM,35.698,71.395,41.220,41.220,355,420,475
750 KCM,38.863,77.726,44.875,44.875,400,475,535
1000 KCM,42.646,85.291,49.243,49.243,455,545,545
