14 AWG,0.631,1.262,0.728,0.728,20,20,25
12 AWG,0.972,1.944,1.123,1.123,25,25,30
10 AWG,1.604,3.207,1.852,1.852,30,35,40
8 AWG,2.426,4.852,2.801,2.801,40,50,55
6 AWG,3.766,7.531,4.348,4.348,55,65,75
4 AWG,5.760,11.521,6.652,6.652,70,85,95
2 AWG,8.530,17.061,9.850,9.850,95,115,130
1/0 AWG,13.110,26.220,15.138,15.138,125,150,170
2/0 AWG,15.172,30.344,17.519,17.519,145,175,195
3/0 AWG,18.269,36.538,21.095,21.095,165,200,225
4/0 AWG,21.563,43.126,24.899,24.899,195,230,260
250 KCM,23.738,47.476,27.410,27.410,215,255,290
300 KCM,26.820,53.639,30.969,30.969,240,285,320
350 KCM,29.426,58.851,33.978,33.978,260,310,350
400 KCM,31.571,63.142,36.455,36.455,280,335,380
500 KCM,35.264,70.529,40.720,40.720,320,380,430
600 KCM,37.962,75.923,43.834,43.834,355,420,475
750 KCM,41.106,82.211,47.465,47.465,400,475,535
1000 KCM,44.954,89.908,51.909,51.909,455,545,615
