14 AWG,0.655,1.311,0.757,0.757,20,20,25
12 AWG,1.010,2.019,1.166,1.166,25,25,30
10 AWG,1.665,3.330,1.923,1.923,30,35,40
8 AWG,2.517,5.034,2.906,2.906,40,50,55
6 AWG,3.903,7.806,4.507,4.507,55,65,75
4 AWG,5.964,11.928,6.886,6.886,70,85,95
2 AWG,8.818,17.636,10.182,10.182,95,115,130
1/0 AWG,13.516,27.032,15.607,15.607,125,150,170
2/0 AWG,15.625,31.250,18.042,18.042,145,175,195
3/0 AWG,18.787,37.573,21.693,21.693,165,200,225
4/0 AWG,22.137,44.275,25.562,25.562,195,230,260
250 KCM,24.334,48.668,28.098,28.098,215,255,290
300 KCM,27.452,54.905,31.699,31.699,240,285,320
350 KCM,30.085,60.171,34.740,34.740,260,310,350
400 KCM,32.251,64.503,37.241,37.241,280,335,380
500 KCM,35.967,71.933,41.531,41.531,320,380,430
600 KCM,38.662,77.325,44.643,44.643,355,420,475
750 KCM,41.795,83.590,48.260,48.260,400,475,535
1000 KCM,45.660,91.321,52.724,52.724,455,545,615
