14 AWG,0.559,1.119,0.646,0.646,20,20,25
12 AWG,0.863,1.727,0.997,0.997,25,25,30
10 AWG,1.428,2.857,1.649,1.649,30,35,40
8 AWG,2.171,4.342,2.507,2.507,40,50,55
6 AWG,3.395,6.789,3.920,3.920,55,65,75
4 AWG,5.239,10.477,6.049,6.049,70,85,95
2 AWG,7.864,15.728,9.080,9.080,95,115,130
1/0 AWG,11.511,23.021,13.291,13.291,125,150,170
2/0 AWG,14.399,28.798,16.627,16.627,145,175,195
3/0 AWG,16.987,33.975,19.615,19.615,165,200,225
4/0 AWG,19.996,39.992,23.089,23.089,195,230,260
250 KCM,22.575,45.150,26.067,26.067,215,255,290
300 KCM,25.168,50.336,29.061,29.061,240,285,320
350 KCM,27.767,55.533,32.062,32.062,260,310,350
400 KCM,30.159,60.318,34.824,34.824,280,335,380
500 KCM,33.959,67.917,39.212,39.212,320,380,430
600 KCM,36.811,73.622,42.506,42.506,355,420,475
750 KCM,40.685,81.371,46.979,46.979,400,475,535
1000 KCM,46.653,93.307,53.871,53.871,455,545,545
