14 AWG,0.567,1.135,0.655,0.655,20,20,25
12 AWG,0.875,1.749,1.010,1.010,25,25,30
10 AWG,1.444,2.889,1.668,1.668,30,35,40
8 AWG,2.189,4.377,2.527,2.527,40,50,55
6 AWG,3.406,6.811,3.932,3.932,55,65,75
4 AWG,5.226,10.451,6.034,6.034,70,85,95
2 AWG,7.771,15.541,8.973,8.973,95,115,130
1/0 AWG,12.026,24.051,13.886,13.886,125,150,170
2/0 AWG,13.959,27.917,16.118,16.118,145,175,195
3/0 AWG,16.873,33.747,19.484,19.484,165,200,225
4/0 AWG,20.006,40.011,23.101,23.101,195,230,260
250 KCM,22.114,44.227,25.535,25.535,215,255,290
300 KCM,25.085,50.171,28.966,28.966,240,285,320
350 KCM,27.609,55.219,31.881,31.881,260,310,350
400 KCM,29.691,59.383,34.285,34.285,280,335,380
500 KCM,33.313,66.627,38.467,38.467,320,380,430
600 KCM,36.004,72.009,41.574,41.574,355,420,475
750 KCM,39.168,78.337,45.228,45.228,400,475,535
1000 KCM,42.961,85.921,49.607,49.607,455,545,545
