14 AWG,0.608,1.216,0.702,0.702,20,20,25
12 AWG,0.937,1.875,1.082,1.082,25,25,30
10 AWG,1.547,3.094,1.786,1.786,30,35,40
8 AWG,2.341,4.683,2.704,2.704,40,50,55
6 AWG,3.637,7.275,4.200,4.200,55,65,75
4 AWG,5.570,11.141,6.432,6.432,70,85,95
2 AWG,8.261,16.522,9.539,9.539,95,115,130
1/0 AWG,12.727,25.455,14.696,14.696,125,150,170
2/0 AWG,14.745,29.490,17.026,17.026,145,175,195
3/0 AWG,17.779,35.557,20.529,20.529,165,200,225
4/0 AWG,21.018,42.035,24.269,24.269,195,230,260
250 KCM,23.171,46.341,26.755,26.755,215,255,290
300 KCM,26.215,52.431,30.271,30.271,240,285,320
350 KCM,28.794,57.589,33.249,33.249,260,310,350
400 KCM,30.919,61.837,35.702,35.702,280,335,380
500 KCM,34.589,69.178,39.940,39.940,320,380,430
600 KCM,37.286,74.572,43.054,43.054,355,420,475
750 KCM,40.439,80.878,46.695,46.695,400,475,535
1000 KCM,44.269,88.539,51.118,51.118,455,545,615
