14 AWG,0.633,1.265,0.730,0.730,20,20,25
12 AWG,0.976,1.952,1.127,1.127,25,25,30
10 AWG,1.613,3.227,1.863,1.863,30,35,40
8 AWG,2.448,4.896,2.827,2.827,40,50,55
6 AWG,3.819,7.638,4.410,4.410,55,65,75
4 AWG,5.877,11.753,6.786,6.786,70,85,95
2 AWG,9.196,18.391,10.618,10.618,95,115,130
1/0 AWG,13.672,27.345,15.787,15.787,125,150,170
2/0 AWG,15.933,31.866,18.398,18.398,145,175,195
3/0 AWG,19.660,39.321,22.702,22.702,165,200,225
4/0 AWG,23.251,46.502,26.848,26.848,195,230,260
250 KCM,26.341,52.681,30.416,30.416,215,255,290
300 KCM,29.468,58.937,34.027,34.027,240,285,320
350 KCM,32.662,65.323,37.714,37.714,260,310,350
400 KCM,35.594,71.188,41.100,41.100,280,335,380
500 KCM,40.346,80.692,46.587,46.587,320,380,430
600 KCM,43.916,87.831,50.710,50.710,355,420,475
750 KCM,48.893,97.785,56.456,56.456,400,475,535
1000 KCM,55.095,110.190,63.618,63.618,455,545,615
