14 AWG,0.633,1.265,0.730,0.730,20,20,25
12 AWG,0.976,1.952,1.127,1.127,25,25,30
10 AWG,1.613,3.227,1.863,1.863,30,35,40
8 AWG,2.448,4.896,2.827,2.827,40,50,55
6 AWG,3.819,7.638,4.410,4.410,55,65,75
4 AWG,5.877,11.753,6.786,6.786,70,85,95
2 AWG,8.788,17.576,10.147,10.147,95,115,130
1/0 AWG,12.790,25.580,14.769,14.769,125,150,170
2/0 AWG,15.933,31.866,18.398,18.398,145,175,195
3/0 AWG,18.731,37.463,21.629,21.629,165,200,225
4/0 AWG,21.963,43.926,25.361,25.361,195,230,260
250 KCM,24.700,49.399,28.521,28.521,215,255,290
300 KCM,27.430,54.859,31.673,31.673,240,285,320
350 KCM,30.176,60.351,34.844,34.844,260,310,350
400 KCM,32.662,65.323,37.714,37.714,280,335,380
500 KCM,36.619,73.238,42.284,42.284,320,380,430
600 KCM,39.536,79.072,45.653,45.653,355,420,475
750 KCM,43.525,87.050,50.258,50.258,400,475,535
1000 KCM,49.590,99.180,57.262,57.262,455,545,615
