14 AWG,0.588,1.177,0.680,0.680,20,20,25
12 AWG,0.908,1.816,1.049,1.049,25,25,30
10 AWG,1.502,3.005,1.735,1.735,30,35,40
8 AWG,2.282,4.563,2.635,2.635,40,50,55
6 AWG,3.564,7.129,4.116,4.116,55,65,75
4 AWG,5.494,10.989,6.344,6.344,70,85,95
2 AWG,8.235,16.470,9.509,9.509,95,115,130
1/0 AWG,12.026,24.053,13.887,13.887,125,150,170
2/0 AWG,15.019,30.037,17.342,17.342,145,175,195
3/0 AWG,17.693,35.387,20.431,20.431,165,200,225
4/0 AWG,20.794,41.588,24.011,24.011,195,230,260
250 KCM,23.439,46.878,27.065,27.065,215,255,290
300 KCM,26.090,52.180,30.126,30.126,240,285,320
350 KCM,28.750,57.501,33.198,33.198,260,310,350
400 KCM,31.183,62.366,36.007,36.007,280,335,380
500 KCM,35.050,70.100,40.472,40.472,320,380,430
600 KCM,37.932,75.863,43.800,43.800,355,420,475
750 KCM,41.856,83.711,48.331,48.331,400,475,535
1000 KCM,47.868,95.736,55.273,55.273,455,545,615
