14 AWG,0.621,1.242,0.717,0.717,20,20,25
12 AWG,0.958,1.916,1.106,1.106,25,25,30
10 AWG,1.584,3.168,1.829,1.829,30,35,40
8 AWG,2.404,4.809,2.776,2.776,40,50,55
6 AWG,3.752,7.504,4.333,4.333,55,65,75
4 AWG,5.776,11.552,6.670,6.670,70,85,95
2 AWG,9.045,18.089,10.444,10.444,95,115,130
1/0 AWG,13.461,26.923,15.544,15.544,125,150,170
2/0 AWG,15.694,31.388,18.122,18.122,145,175,195
3/0 AWG,19.380,38.760,22.378,22.378,165,200,225
4/0 AWG,22.935,45.871,26.483,26.483,195,230,260
250 KCM,26.001,52.001,30.023,30.023,215,255,290
300 KCM,29.108,58.216,33.611,33.611,240,285,320
350 KCM,32.279,64.558,37.273,37.273,260,310,350
400 KCM,35.199,70.398,40.644,40.644,280,335,380
500 KCM,39.930,79.861,46.108,46.108,320,380,430
600 KCM,43.496,86.992,50.225,50.225,355,420,475
750 KCM,48.463,96.926,55.960,55.960,400,475,535
1000 KCM,54.664,109.327,63.120,63.120,455,545,615
