14 AWG,0.645,1.289,0.744,0.744,20,20,25
12 AWG,0.994,1.989,1.148,1.148,25,25,30
10 AWG,1.644,3.288,1.898,1.898,30,35,40
8 AWG,2.494,4.987,2.879,2.879,40,50,55
6 AWG,3.889,7.777,4.490,4.490,55,65,75
4 AWG,5.981,11.962,6.906,6.906,70,85,95
2 AWG,9.352,18.703,10.798,10.798,95,115,130
1/0 AWG,13.890,27.780,16.039,16.039,125,150,170
2/0 AWG,16.179,32.358,18.682,18.682,145,175,195
3/0 AWG,19.949,39.898,23.035,23.035,165,200,225
4/0 AWG,23.576,47.151,27.223,27.223,195,230,260
250 KCM,26.690,53.379,30.819,30.819,215,255,290
300 KCM,29.838,59.676,34.454,34.454,240,285,320
350 KCM,33.054,66.107,38.167,38.167,260,310,350
400 KCM,35.998,71.996,41.567,41.567,280,335,380
500 KCM,40.770,81.540,47.077,47.077,320,380,430
600 KCM,44.344,88.687,51.204,51.204,355,420,475
750 KCM,49.330,98.660,56.961,56.961,400,475,535
1000 KCM,55.533,111.066,64.124,64.124,455,545,615
