14 AWG,0.588,1.177,0.680,0.680,20,20,25
12 AWG,0.908,1.816,1.049,1.049,25,25,30
10 AWG,1.502,3.005,1.735,1.735,30,35,40
8 AWG,2.282,4.563,2.635,2.635,40,50,55
6 AWG,3.564,7.129,4.116,4.116,55,65,75
4 AWG,5.494,10.989,6.344,6.344,70,85,95
2 AWG,8.620,17.240,9.954,9.954,95,115,130
1/0 AWG,12.866,25.732,14.856,14.856,125,150,170
2/0 AWG,15.019,30.037,17.342,17.342,145,175,195
3/0 AWG,18.586,37.171,21.461,21.461,165,200,225
4/0 AWG,22.038,44.075,25.447,25.447,195,230,260
250 KCM,25.031,50.062,28.903,28.903,215,255,290
300 KCM,28.077,56.155,32.421,32.421,240,285,320
350 KCM,31.183,62.366,36.007,36.007,260,310,350
400 KCM,34.065,68.130,39.335,39.335,280,335,380
500 KCM,38.734,77.467,44.726,44.726,320,380,430
600 KCM,42.283,84.567,48.825,48.825,355,420,475
750 KCM,47.218,94.436,54.523,54.523,400,475,535
1000 KCM,53.409,106.819,61.672,61.672,455,545,615
