14 AWG,0.549,1.098,0.634,0.634,20,20,25
12 AWG,0.846,1.693,0.977,0.977,25,25,30
10 AWG,1.398,2.796,1.614,1.614,30,35,40
8 AWG,2.120,4.239,2.448,2.448,40,50,55
6 AWG,3.300,6.601,3.811,3.811,55,65,75
4 AWG,5.069,10.138,5.853,5.853,70,85,95
2 AWG,7.547,15.093,8.714,8.714,95,115,130
1/0 AWG,11.703,23.406,13.514,13.514,125,150,170
2/0 AWG,13.596,27.192,15.699,15.699,145,175,195
3/0 AWG,16.454,32.909,19.000,19.000,165,200,225
4/0 AWG,19.535,39.071,22.557,22.557,195,230,260
250 KCM,21.620,43.241,24.965,24.965,215,255,290
300 KCM,24.556,49.112,28.355,28.355,240,285,320
350 KCM,27.053,54.106,31.238,31.238,260,310,350
400 KCM,29.114,58.227,33.618,33.618,280,335,380
500 KCM,32.710,65.420,37.770,37.770,320,380,430
600 KCM,35.396,70.792,40.872,40.872,355,420,475
750 KCM,38.562,77.125,44.528,44.528,400,475,535
1000 KCM,42.335,84.670,48.884,48.884,455,545,545
