14 AWG,0.540,1.080,0.624,0.624,20,20,25
12 AWG,0.833,1.666,0.962,0.962,25,25,30
10 AWG,1.376,2.752,1.589,1.589,30,35,40
8 AWG,2.087,4.173,2.409,2.409,40,50,55
6 AWG,3.250,6.500,3.753,3.753,55,65,75
4 AWG,4.994,9.988,5.766,5.766,70,85,95
2 AWG,7.439,14.879,8.590,8.590,95,115,130
1/0 AWG,11.548,23.097,13.335,13.335,125,150,170
2/0 AWG,13.422,26.843,15.498,15.498,145,175,195
3/0 AWG,16.253,32.505,18.767,18.767,165,200,225
4/0 AWG,19.308,38.617,22.295,22.295,195,230,260
250 KCM,21.382,42.764,24.690,24.690,215,255,290
300 KCM,24.300,48.599,28.059,28.059,240,285,320
350 KCM,26.783,53.566,30.926,30.926,260,310,350
400 KCM,28.833,57.666,33.294,33.294,280,335,380
500 KCM,32.416,64.833,37.431,37.431,320,380,430
600 KCM,35.099,70.199,40.529,40.529,355,420,475
750 KCM,38.266,76.533,44.186,44.186,400,475,535
1000 KCM,42.029,84.058,48.531,48.531,455,545,545
