14 AWG,0.569,1.137,0.657,0.657,20,20,25
12 AWG,0.878,1.756,1.014,1.014,25,25,30
10 AWG,1.452,2.905,1.677,1.677,30,35,40
8 AWG,2.207,4.413,2.548,2.548,40,50,55
6 AWG,3.449,6.899,3.983,3.983,55,65,75
4 AWG,5.321,10.642,6.144,6.144,70,85,95
2 AWG,7.984,15.968,9.219,9.219,95,115,130
1/0 AWG,11.678,23.355,13.484,13.484,125,150,170
2/0 AWG,14.600,29.200,16.858,16.858,145,175,195
3/0 AWG,17.216,34.433,19.880,19.880,165,200,225
4/0 AWG,20.255,40.510,23.389,23.389,195,230,260
250 KCM,22.856,45.712,26.392,26.392,215,255,290
300 KCM,25.468,50.936,29.408,29.408,240,285,320
350 KCM,28.087,56.174,32.432,32.432,260,310,350
400 KCM,30.493,60.985,35.210,35.210,280,335,380
500 KCM,34.315,68.630,39.623,39.623,320,380,430
600 KCM,37.177,74.354,42.928,42.928,355,420,475
750 KCM,41.068,82.136,47.421,47.421,400,475,535
1000 KCM,47.051,94.103,54.330,54.330,455,545,545
