14 AWG,0.643,1.286,0.742,0.742,20,20,25
12 AWG,0.991,1.981,1.144,1.144,25,25,30
10 AWG,1.634,3.268,1.887,1.887,30,35,40
8 AWG,2.471,4.941,2.853,2.853,40,50,55
6 AWG,3.833,7.666,4.426,4.426,55,65,75
4 AWG,5.860,11.721,6.767,6.767,70,85,95
2 AWG,8.672,17.343,10.013,10.013,95,115,130
1/0 AWG,13.310,26.619,15.369,15.369,125,150,170
2/0 AWG,15.395,30.790,17.777,17.777,145,175,195
3/0 AWG,18.524,37.048,21.390,21.390,165,200,225
4/0 AWG,21.846,43.693,25.226,25.226,195,230,260
250 KCM,24.032,48.065,27.750,27.750,215,255,290
300 KCM,27.132,54.264,31.330,31.330,240,285,320
350 KCM,29.752,59.504,34.354,34.354,260,310,350
400 KCM,31.907,63.815,36.844,36.844,280,335,380
500 KCM,35.612,71.224,41.121,41.121,320,380,430
600 KCM,38.309,76.618,44.235,44.235,355,420,475
750 KCM,41.447,82.895,47.859,47.859,400,475,535
1000 KCM,45.304,90.609,52.313,52.313,455,545,615
