14 AWG,0.610,1.219,0.704,0.704,20,20,25
12 AWG,0.941,1.882,1.086,1.086,25,25,30
10 AWG,1.556,3.112,1.797,1.797,30,35,40
8 AWG,2.362,4.724,2.727,2.727,40,50,55
6 AWG,3.687,7.375,4.258,4.258,55,65,75
4 AWG,5.679,11.358,6.558,6.558,70,85,95
2 AWG,8.502,17.005,9.818,9.818,95,115,130
1/0 AWG,12.396,24.793,14.314,14.314,125,150,170
2/0 AWG,15.462,30.925,17.854,17.854,145,175,195
3/0 AWG,18.198,36.395,21.013,21.013,165,200,225
4/0 AWG,21.363,42.725,24.667,24.667,195,230,260
250 KCM,24.053,48.106,27.774,27.774,215,255,290
300 KCM,26.743,53.486,30.880,30.880,240,285,320
350 KCM,29.446,58.892,34.001,34.001,260,310,350
400 KCM,31.905,63.810,36.841,36.841,280,335,380
500 KCM,35.817,71.635,41.358,41.358,320,380,430
600 KCM,38.717,77.435,44.707,44.707,355,420,475
750 KCM,42.674,85.348,49.276,49.276,400,475,535
1000 KCM,48.714,97.428,56.250,56.250,455,545,615
