14 AWG,0.645,1.289,0.744,0.744,20,20,25
12 AWG,0.994,1.989,1.148,1.148,25,25,30
10 AWG,1.644,3.288,1.898,1.898,30,35,40
8 AWG,2.494,4.987,2.879,2.879,40,50,55
6 AWG,3.889,7.777,4.490,4.490,55,65,75
4 AWG,5.981,11.962,6.906,6.906,70,85,95
2 AWG,8.938,17.876,10.321,10.321,95,115,130
1/0 AWG,12.996,25.993,15.007,15.007,125,150,170
2/0 AWG,16.179,32.358,18.682,18.682,145,175,195
3/0 AWG,19.010,38.021,21.951,21.951,165,200,225
4/0 AWG,22.276,44.552,25.722,25.722,195,230,260
250 KCM,25.036,50.072,28.909,28.909,215,255,290
300 KCM,27.786,55.573,32.085,32.085,240,285,320
350 KCM,30.554,61.109,35.281,35.281,260,310,350
400 KCM,33.054,66.107,38.167,38.167,280,335,380
500 KCM,37.034,74.067,42.763,42.763,320,380,430
600 KCM,39.959,79.918,46.141,46.141,355,420,475
750 KCM,43.963,87.926,50.764,50.764,400,475,535
1000 KCM,50.040,100.080,57.781,57.781,455,545,615
