14 AWG,0.578,1.157,0.668,0.668,20,20,25
12 AWG,0.893,1.785,1.031,1.031,25,25,30
10 AWG,1.477,2.954,1.705,1.705,30,35,40
8 AWG,2.244,4.487,2.591,2.591,40,50,55
6 AWG,3.506,7.012,4.048,4.048,55,65,75
4 AWG,5.406,10.813,6.243,6.243,70,85,95
2 AWG,8.107,16.215,9.362,9.362,95,115,130
1/0 AWG,11.849,23.699,13.682,13.682,125,150,170
2/0 AWG,14.806,29.613,17.097,17.097,145,175,195
3/0 AWG,17.452,34.903,20.151,20.151,165,200,225
4/0 AWG,20.521,41.042,23.696,23.696,195,230,260
250 KCM,23.144,46.288,26.724,26.724,215,255,290
300 KCM,25.775,51.550,29.762,29.762,240,285,320
350 KCM,28.415,56.830,32.811,32.811,260,310,350
400 KCM,30.834,61.668,35.604,35.604,280,335,380
500 KCM,34.679,69.357,40.043,40.043,320,380,430
600 KCM,37.551,75.101,43.360,43.360,355,420,475
750 KCM,41.458,82.916,47.872,47.872,400,475,535
1000 KCM,47.456,94.913,54.798,54.798,455,545,545
