14 AWG,0.610,1.219,0.704,0.704,20,20,25
12 AWG,0.941,1.882,1.086,1.086,25,25,30
10 AWG,1.556,3.112,1.797,1.797,30,35,40
8 AWG,2.362,4.724,2.727,2.727,40,50,55
6 AWG,3.687,7.375,4.258,4.258,55,65,75
4 AWG,5.679,11.358,6.558,6.558,70,85,95
2 AWG,8.899,17.797,10.275,10.275,95,115,130
1/0 AWG,13.257,26.514,15.308,15.308,125,150,170
2/0 AWG,15.462,30.925,17.854,17.854,145,175,195
3/0 AWG,19.108,38.216,22.064,22.064,165,200,225
4/0 AWG,22.628,45.256,26.129,26.129,195,230,260
250 KCM,25.669,51.338,29.640,29.640,215,255,290
300 KCM,28.756,57.512,33.205,33.205,240,285,320
350 KCM,31.905,63.810,36.841,36.841,260,310,350
400 KCM,34.813,69.626,40.198,40.198,280,335,380
500 KCM,39.523,79.047,45.638,45.638,320,380,430
600 KCM,43.084,86.168,49.749,49.749,355,420,475
750 KCM,48.041,96.081,55.473,55.473,400,475,535
1000 KCM,54.239,108.478,62.630,62.630,455,545,615
