14 AWG,0.559,1.119,0.646,0.646,20,20,25
12 AWG,0.863,1.727,0.997,0.997,25,25,30
10 AWG,1.428,2.857,1.649,1.649,30,35,40
8 AWG,2.171,4.342,2.507,2.507,40,50,55
6 AWG,3.395,6.789,3.920,3.920,55,65,75
4 AWG,5.239,10.477,6.049,6.049,70,85,95
2 AWG,8.234,16.468,9.508,9.508,95,115,130
1/0 AWG,12.321,24.642,14.227,14.227,125,150,170
2/0 AWG,14.399,28.798,16.627,16.627,145,175,195
3/0 AWG,17.854,35.708,20.616,20.616,165,200,225
4/0 AWG,21.207,42.415,24.488,24.488,195,230,260
250 KCM,24.131,48.262,27.864,27.864,215,255,290
300 KCM,27.117,54.235,31.312,31.312,240,285,320
350 KCM,30.159,60.318,34.824,34.824,260,310,350
400 KCM,33.002,66.004,38.107,38.107,280,335,380
500 KCM,37.607,75.213,43.425,43.425,320,380,430
600 KCM,41.137,82.273,47.500,47.500,355,420,475
750 KCM,46.035,92.071,53.157,53.157,400,475,535
1000 KCM,52.211,104.422,60.288,60.288,455,545,545
