14 AWG,0.657,1.314,0.759,0.759,20,20,25
12 AWG,1.014,2.027,1.171,1.171,25,25,30
10 AWG,1.675,3.351,1.935,1.935,30,35,40
8 AWG,2.541,5.082,2.934,2.934,40,50,55
6 AWG,3.961,7.921,4.573,4.573,55,65,75
4 AWG,6.089,12.177,7.030,7.030,70,85,95
2 AWG,9.093,18.186,10.500,10.500,95,115,130
1/0 AWG,13.210,26.419,15.253,15.253,125,150,170
2/0 AWG,16.433,32.866,18.975,18.975,145,175,195
3/0 AWG,19.298,38.595,22.283,22.283,165,200,225
4/0 AWG,22.598,45.196,26.094,26.094,195,230,260
250 KCM,25.382,50.764,29.309,29.309,215,255,290
300 KCM,28.153,56.305,32.508,32.508,240,285,320
350 KCM,30.943,61.885,35.729,35.729,260,310,350
400 KCM,33.455,66.910,38.630,38.630,280,335,380
500 KCM,37.458,74.915,43.252,43.252,320,380,430
600 KCM,40.391,80.781,46.639,46.639,355,420,475
750 KCM,44.410,88.821,51.281,51.281,400,475,535
1000 KCM,50.498,100.997,58.310,58.310,455,545,615
