14 AWG,0.619,1.239,0.715,0.715,20,20,25
12 AWG,0.954,1.909,1.102,1.102,25,25,30
10 AWG,1.575,3.150,1.818,1.818,30,35,40
8 AWG,2.383,4.766,2.752,2.752,40,50,55
6 AWG,3.700,7.401,4.273,4.273,55,65,75
4 AWG,5.664,11.328,6.540,6.540,70,85,95
2 AWG,8.394,16.787,9.692,9.692,95,115,130
1/0 AWG,12.916,25.831,14.914,14.914,125,150,170
2/0 AWG,14.955,29.911,17.269,17.269,145,175,195
3/0 AWG,18.020,36.041,20.808,20.808,165,200,225
4/0 AWG,21.287,42.574,24.580,24.580,195,230,260
250 KCM,23.451,46.902,27.079,27.079,215,255,290
300 KCM,26.514,53.028,30.616,30.616,240,285,320
350 KCM,29.107,58.213,33.609,33.609,260,310,350
400 KCM,31.241,62.483,36.074,36.074,280,335,380
500 KCM,34.924,69.847,40.326,40.326,320,380,430
600 KCM,37.621,75.242,43.441,43.441,355,420,475
750 KCM,40.770,81.539,47.077,47.077,400,475,535
1000 KCM,44.609,89.218,51.510,51.510,455,545,615
