14 AWG,0.621,1.242,0.717,0.717,20,20,25
12 AWG,0.958,1.916,1.106,1.106,25,25,30
10 AWG,1.584,3.168,1.829,1.829,30,35,40
8 AWG,2.404,4.809,2.776,2.776,40,50,55
6 AWG,3.752,7.504,4.333,4.333,55,65,75
4 AWG,5.776,11.552,6.670,6.670,70,85,95
2 AWG,8.643,17.286,9.980,9.980,95,115,130
1/0 AWG,12.590,25.180,14.538,14.538,125,150,170
2/0 AWG,15.694,31.388,18.122,18.122,145,175,195
3/0 AWG,18.461,36.921,21.317,21.317,165,200,225
4/0 AWG,21.659,43.317,25.009,25.009,195,230,260
250 KCM,24.372,48.744,28.142,28.142,215,255,290
300 KCM,27.082,54.164,31.272,31.272,240,285,320
350 KCM,29.806,59.612,34.417,34.417,260,310,350
400 KCM,32.279,64.558,37.273,37.273,280,335,380
500 KCM,36.214,72.428,41.816,41.816,320,380,430
600 KCM,39.122,78.245,45.175,45.175,355,420,475
750 KCM,43.095,86.190,49.762,49.762,400,475,535
1000 KCM,49.148,98.296,56.751,56.751,455,545,615
