14 AWG,0.541,1.083,0.625,0.625,20,20,25
12 AWG,0.836,1.671,0.965,0.965,25,25,30
10 AWG,1.383,2.766,1.597,1.597,30,35,40
8 AWG,2.103,4.206,2.428,2.428,40,50,55
6 AWG,3.290,6.580,3.799,3.799,55,65,75
4 AWG,5.081,10.162,5.867,5.867,70,85,95
2 AWG,7.995,15.990,9.232,9.232,95,115,130
1/0 AWG,11.983,23.965,13.836,13.836,125,150,170
2/0 AWG,14.014,28.027,16.182,16.182,145,175,195
3/0 AWG,17.397,34.794,20.088,20.088,165,200,225
4/0 AWG,20.688,41.376,23.888,23.888,195,230,260
250 KCM,23.566,47.133,27.212,27.212,215,255,290
300 KCM,26.513,53.026,30.615,30.615,240,285,320
350 KCM,29.513,59.025,34.078,34.078,260,310,350
400 KCM,32.329,64.658,37.331,37.331,280,335,380
500 KCM,36.891,73.782,42.598,42.598,320,380,430
600 KCM,40.406,80.812,46.657,46.657,355,420,475
750 KCM,45.279,90.559,52.284,52.284,400,475,535
1000 KCM,51.442,102.884,59.400,59.400,455,545,545
