14 AWG,0.550,1.100,0.635,0.635,20,20,25
12 AWG,0.849,1.699,0.981,0.981,25,25,30
10 AWG,1.405,2.811,1.623,1.623,30,35,40
8 AWG,2.136,4.273,2.467,2.467,40,50,55
6 AWG,3.341,6.683,3.858,3.858,55,65,75
4 AWG,5.159,10.317,5.957,5.957,70,85,95
2 AWG,8.113,16.225,9.368,9.368,95,115,130
1/0 AWG,12.149,24.299,14.029,14.029,125,150,170
2/0 AWG,14.204,28.408,16.401,16.401,145,175,195
3/0 AWG,17.622,35.245,20.349,20.349,165,200,225
4/0 AWG,20.944,41.889,24.185,24.185,195,230,260
250 KCM,23.845,47.691,27.534,27.534,215,255,290
300 KCM,26.812,53.623,30.960,30.960,240,285,320
350 KCM,29.832,59.664,34.447,34.447,260,310,350
400 KCM,32.662,65.324,37.715,37.715,280,335,380
500 KCM,37.245,74.491,43.007,43.007,320,380,430
600 KCM,40.768,81.536,47.075,47.075,355,420,475
750 KCM,45.654,91.309,52.717,52.717,400,475,535
1000 KCM,51.824,103.647,59.841,59.841,455,545,545
